metric,value
experiment,CERBERUS Vigil synthetic independence-decay experiment
status,implemented explanatory prototype; not flight validation
calibrated_alarm_threshold_upper_bound,0.45832639152918053
nominal_false_alarm_runs,0
nominal_evaluation_runs,200
nominal_run_false_alarm_rate,0.0
coupling_detection_runs,200
coupling_evaluation_runs,200
coupling_detection_rate,1.0
median_detection_sample,1061.5
median_detection_lead_samples,238.5
lead_samples_p10,160.9
lead_samples_p90,319.59999999999997
representative_detection_sample,984
representative_first_A2,799
representative_first_A1,1139
representative_first_A0,1197
